src_ip,dst_ip,src_port,dst_port,total_packets,duration,syn_count,ack_count,fin_count,rst_count,push_count,total_payload,avg_payload,std_payload,min_payload,max_payload,zero_payload_ratio,avg_inter_arrival,std_inter_arrival,max_inter_arrival,avg_window,std_window,min_window,incomplete_requests,keepalive_count,packets_per_sec,bytes_per_sec,conn_established,conn_closed,long_lived,prediction,confidence,status
unknown_0,unknown,0,80,10,1.0,1,10,0,0,5,1000,100,50,0,200,0.1,0.1,0.05,0.2,65535,1000,60000,0,0,10.0,1000.0,1,0,0,0,0.2,BENIGN
unknown_10,unknown,0,80,10,1.0,1,10,0,0,5,1000,100,50,0,200,0.1,0.1,0.05,0.2,65535,1000,60000,0,0,10.0,1000.0,1,0,0,0,0.2,BENIGN
unknown_20,unknown,0,80,10,1.0,1,10,0,0,5,1000,100,50,0,200,0.1,0.1,0.05,0.2,65535,1000,60000,0,0,10.0,1000.0,1,0,0,0,0.2,BENIGN
unknown_30,unknown,0,80,10,1.0,1,10,0,0,5,1000,100,50,0,200,0.1,0.1,0.05,0.2,65535,1000,60000,0,0,10.0,1000.0,1,0,0,0,0.2,BENIGN
unknown_40,unknown,0,80,10,1.0,1,10,0,0,5,1000,100,50,0,200,0.1,0.1,0.05,0.2,65535,1000,60000,0,0,10.0,1000.0,1,0,0,0,0.2,BENIGN
unknown_50,unknown,0,80,10,1.0,1,10,0,0,5,1000,100,50,0,200,0.1,0.1,0.05,0.2,65535,1000,60000,0,0,10.0,1000.0,1,0,0,0,0.2,BENIGN
unknown_60,unknown,0,80,10,1.0,1,10,0,0,5,1000,100,50,0,200,0.1,0.1,0.05,0.2,65535,1000,60000,0,0,10.0,1000.0,1,0,0,0,0.2,BENIGN
unknown_70,unknown,0,80,10,1.0,1,10,0,0,5,1000,100,50,0,200,0.1,0.1,0.05,0.2,65535,1000,60000,0,0,10.0,1000.0,1,0,0,0,0.2,BENIGN
unknown_80,unknown,0,80,10,1.0,1,10,0,0,5,1000,100,50,0,200,0.1,0.1,0.05,0.2,65535,1000,60000,0,0,10.0,1000.0,1,0,0,0,0.2,BENIGN
unknown_90,unknown,0,80,10,1.0,1,10,0,0,5,1000,100,50,0,200,0.1,0.1,0.05,0.2,65535,1000,60000,0,0,10.0,1000.0,1,0,0,0,0.2,BENIGN
unknown_100,unknown,0,80,10,1.0,1,10,0,0,5,1000,100,50,0,200,0.1,0.1,0.05,0.2,65535,1000,60000,0,0,10.0,1000.0,1,0,0,0,0.2,BENIGN
unknown_110,unknown,0,80,10,1.0,1,10,0,0,5,1000,100,50,0,200,0.1,0.1,0.05,0.2,65535,1000,60000,0,0,10.0,1000.0,1,0,0,0,0.2,BENIGN
unknown_120,unknown,0,80,10,1.0,1,10,0,0,5,1000,100,50,0,200,0.1,0.1,0.05,0.2,65535,1000,60000,0,0,10.0,1000.0,1,0,0,0,0.2,BENIGN
unknown_130,unknown,0,80,10,1.0,1,10,0,0,5,1000,100,50,0,200,0.1,0.1,0.05,0.2,65535,1000,60000,0,0,10.0,1000.0,1,0,0,0,0.2,BENIGN
unknown_140,unknown,0,80,10,1.0,1,10,0,0,5,1000,100,50,0,200,0.1,0.1,0.05,0.2,65535,1000,60000,0,0,10.0,1000.0,1,0,0,0,0.2,BENIGN
unknown_150,unknown,0,80,10,1.0,1,10,0,0,5,1000,100,50,0,200,0.1,0.1,0.05,0.2,65535,1000,60000,0,0,10.0,1000.0,1,0,0,0,0.2,BENIGN
unknown_160,unknown,0,80,10,1.0,1,10,0,0,5,1000,100,50,0,200,0.1,0.1,0.05,0.2,65535,1000,60000,0,0,10.0,1000.0,1,0,0,0,0.2,BENIGN
unknown_170,unknown,0,80,10,1.0,1,10,0,0,5,1000,100,50,0,200,0.1,0.1,0.05,0.2,65535,1000,60000,0,0,10.0,1000.0,1,0,0,0,0.2,BENIGN
