src_ip,dst_ip,src_port,dst_port,total_packets,duration,syn_count,ack_count,fin_count,rst_count,push_count,total_payload,avg_payload,std_payload,min_payload,max_payload,zero_payload_ratio,avg_inter_arrival,std_inter_arrival,max_inter_arrival,avg_window,std_window,min_window,incomplete_requests,keepalive_count,packets_per_sec,bytes_per_sec,conn_established,conn_closed,long_lived,prediction,confidence,status
unknown,unknown,0,0,0,0.001,0,0,0,0,0,131,0,0,0,0,0.1,0.1,0.05,0.2,6897,1000,60000,0,0,0,366.116578203366,0,0,0,1,0.6883333333333332,ATTACK
unknown,unknown,0,0,0,0.001,0,0,0,0,0,194,0,0,0,0,0.1,0.1,0.05,0.2,7019,1000,60000,0,0,0,184.97680631385157,0,0,0,1,0.769,ATTACK
unknown,unknown,0,0,0,0.001,0,0,0,0,0,104,0,0,0,0,0.1,0.1,0.05,0.2,6031,1000,60000,0,0,0,201.19771490092333,0,0,0,1,0.7743333333333333,ATTACK
unknown,unknown,0,0,0,0.001,0,0,0,0,0,164,0,0,0,0,0.1,0.1,0.05,0.2,4935,1000,60000,0,0,0,278.4730342080162,0,0,0,1,0.7383333333333333,ATTACK
unknown,unknown,0,0,0,0.001,0,0,0,0,0,82,0,0,0,0,0.1,0.1,0.05,0.2,6684,1000,60000,0,0,0,418.0771523145417,0,0,0,1,0.6883333333333332,ATTACK
unknown,unknown,0,0,0,0.001,0,0,0,0,0,191,0,0,0,0,0.1,0.1,0.05,0.2,566,1000,60000,0,0,0,223.96754960408128,0,0,0,1,0.9793333333333334,ATTACK
unknown,unknown,0,0,0,0.001,0,0,0,0,0,46,0,0,0,0,0.1,0.1,0.05,0.2,3982,1000,60000,0,0,0,490.9161254779535,0,0,0,1,0.9083333333333333,ATTACK
unknown,unknown,0,0,0,0.001,0,0,0,0,0,181,0,0,0,0,0.1,0.1,0.05,0.2,7682,1000,60000,0,0,0,256.9447502881626,0,0,0,1,0.6883333333333332,ATTACK
unknown,unknown,0,0,0,0.001,0,0,0,0,0,73,0,0,0,0,0.1,0.1,0.05,0.2,7661,1000,60000,0,0,0,147.85306006121505,0,0,0,1,0.769,ATTACK
unknown,unknown,0,0,0,0.001,0,0,0,0,0,44,0,0,0,0,0.1,0.1,0.05,0.2,6335,1000,60000,0,0,0,115.65863703849186,0,0,0,1,0.779,ATTACK
unknown,unknown,0,0,0,0.001,0,0,0,0,0,100,0,0,0,0,0.1,0.1,0.05,0.2,1706,1000,60000,0,0,0,222.7535886449576,0,0,0,1,0.9793333333333334,ATTACK
unknown,unknown,0,0,0,0.001,0,0,0,0,0,180,0,0,0,0,0.1,0.1,0.05,0.2,486,1000,60000,0,0,0,252.0976086854284,0,0,0,1,0.9133333333333333,ATTACK
unknown,unknown,0,0,0,0.001,0,0,0,0,0,106,0,0,0,0,0.1,0.1,0.05,0.2,6416,1000,60000,0,0,0,359.9535513942596,0,0,0,1,0.6883333333333332,ATTACK
unknown,unknown,0,0,0,0.001,0,0,0,0,0,59,0,0,0,0,0.1,0.1,0.05,0.2,707,1000,60000,0,0,0,492.8365754715204,0,0,0,1,0.9133333333333333,ATTACK
unknown,unknown,0,0,0,0.001,0,0,0,0,0,195,0,0,0,0,0.1,0.1,0.05,0.2,2055,1000,60000,0,0,0,198.04871681567835,0,0,0,1,0.9893333333333334,ATTACK
unknown,unknown,0,0,0,0.001,0,0,0,0,0,77,0,0,0,0,0.1,0.1,0.05,0.2,5251,1000,60000,0,0,0,120.10601428442946,0,0,0,1,0.8190000000000001,ATTACK
unknown,unknown,0,0,0,0.001,0,0,0,0,0,199,0,0,0,0,0.1,0.1,0.05,0.2,6098,1000,60000,0,0,0,203.18943560928943,0,0,0,1,0.7743333333333333,ATTACK
unknown,unknown,0,0,0,0.001,0,0,0,0,0,75,0,0,0,0,0.1,0.1,0.05,0.2,2907,1000,60000,0,0,0,438.9660659648513,0,0,0,1,0.9083333333333333,ATTACK
unknown,unknown,0,0,0,0.001,0,0,0,0,0,67,0,0,0,0,0.1,0.1,0.05,0.2,7950,1000,60000,0,0,0,269.09037288508114,0,0,0,1,0.6883333333333332,ATTACK
unknown,unknown,0,0,0,0.001,0,0,0,0,0,116,0,0,0,0,0.1,0.1,0.05,0.2,1032,1000,60000,0,0,0,410.5152169687252,0,0,0,1,0.9133333333333333,ATTACK
